AAEXERCICIO,CD_MENSAL,VR_INICIAL,VR_ATUALIZADO,VR_EFETIVADO,VR_ACUMULADO,CD_PAI,NR_NIVEL
"FUNDOS",2011,9,0.00,0.00,668018894.64,5423040071.23,,1
"ADMINISTRACAO DIRETA",2011,10,0.00,518233.00,3496373750.10,34350526080.67,,1
"ADMINISTRACAO INDIRETA",2011,10,0.00,11211700.00,191372111.66,2245568970.83,,1
"EMPRESA EST. DEPENDENTES",2011,10,0.00,0.00,6645379.68,65307870.89,,1
"FUNDOS",2011,10,0.00,2895320.00,688603124.17,6111643195.40,,1
"ADMINISTRACAO DIRETA",2011,11,0.00,14700000.00,3544053260.14,37894579340.81,,1
"ADMINISTRACAO INDIRETA",2011,11,0.00,951990.00,306451279.06,2552020249.89,,1
"EMPRESA EST. DEPENDENTES",2011,11,0.00,0.00,6146708.16,71454579.05,,1
"FUNDOS",2011,11,0.00,0.00,703187748.90,6814830944.30,,1
"ADMINISTRACAO DIRETA",2011,12,0.00,868879115.06,5438223346.88,43332802687.69,,1
"ADMINISTRACAO INDIRETA",2011,12,0.00,11488425.00,616643912.96,3168664162.85,,1
"EMPRESA EST. DEPENDENTES",2011,12,0.00,0.00,10394333.98,81848913.03,,1
"FUNDOS",2011,12,0.00,247122.31,1446306953.62,8261137897.92,,1
"ADMINISTRACAO DIRETA",2012,1,45544903905.00,45656940846.00,4859758008.36,4859758008.36,,1
"ADMINISTRACAO INDIRETA",2012,1,3440279266.00,3635199137.00,245336378.31,245336378.31,,1
"EMPRESA EST. DEPENDENTES",2012,1,76571937.00,76571937.00,6050657.02,6050657.02,,1
"FUNDOS",2012,1,9001874696.00,9021861479.00,301607747.25,301607747.25,,1
"ADMINISTRACAO DIRETA",2012,2,0.00,565812705.00,3576999531.76,8436757540.12,,1
"ADMINISTRACAO INDIRETA",2012,2,0.00,13302696.00,198819663.07,444156041.38,,1
"EMPRESA EST. DEPENDENTES",2012,2,0.00,48000.00,6409138.07,12459795.09,,1
"FUNDOS",2012,2,0.00,6000000.00,1096294044.61,1397901791.86,,1
"ADMINISTRACAO DIRETA",2012,3,0.00,5546373.00,3760785565.91,12197543106.03,,1
"ADMINISTRACAO INDIRETA",2012,3,0.00,24546867.00,219531462.50,663687503.88,,1
"EMPRESA EST. DEPENDENTES",2012,3,0.00,45000.00,6338789.82,18798584.91,,1
